         988
      930000      100009  7.4055180E-02  -10.28519    
      930000      110010  2.6672246E-02  -2.464419    
      930000      110012  2.0616772E-02  -17.93564    
      930000      120013  5.4728702E-02  -15.50578    
      930000      130014  3.8984589E-02  -11.86649    
      930000      140015  2.4685876E-02  -13.65498    
      930000      150016  1.8512359E-02  -15.10320    
      930000      160017  1.2714537E-02  -14.82695    
      930000      170018  1.0887013E-02  -13.82055    
      930000      180019  1.0382183E-02  -13.05307    
      930000      190020  7.5763976E-03  -11.56353    
      930000      200021  6.6711353E-03  -11.17490    
      930000      230022  1.7442087E-02 -0.4748186    
      930000      240023  1.4770905E-02  0.5675736    
      930000      250024  6.1233048E-03   6.572992    
      930000      260025  1.4047801E-02  -10.74776    
      930000      270026  8.3914194E-03  -22.26076    
      930000      280027  3.2981231E-03  -64.19184    
      930000      290028  4.8073784E-02  -23.92492    
      930000      300029  2.2658868E-02  -20.24262    
      930000      310030  1.0856473E-02  -31.72675    
      930000      450044  2.3740958E-02  -1.065155    
      930000      460045  3.9638329E-02  -18.74579    
      930000      470046  4.9817725E-03  -181.6864    
      930000      470048  8.3013130E-03  -30.83791    
      930000      480049  1.6242711E-02  -16.68891    
      930000      340033  1.4156145E-02   4.045602    
      930000      350034  1.2579076E-02 -0.5487835    
      930000      360035  6.9977110E-03  -2.573521    
      930000      370036  1.9271301E-02  -15.09026    
      930000      370038  8.7597985E-03  0.3931571    
      930000      390038  3.5697833E-02  -25.25375    
      930000      400039  3.3584725E-02  -19.86519    
      930000      410040  1.8105829E-02  -25.12134    
      930000      420041  3.3310861E-03  -46.27347    
      930000      420043  8.1887562E-03  -9.283011    
      930000      520051  3.8303763E-02  -20.64268    
      930000      530054  1.2493279E-02  -18.69110    
      930000      540055  1.4789045E-02  -14.39526    
      680000      230022  1.8398850E-03   82.40588    
      680000      230024  5.0642905E-03  -55.95232    
      680000      240025  1.3718315E-02  -11.69348    
      680000      260027  4.1958769E-03  -18.48333    
      680000      270028  7.7776005E-03  -12.53733    
      680000      290028  5.6855953E-03  -20.37043    
      680000      300029  1.2819074E-03  -15.34699    
      680000      440045  3.8774267E-03  -45.38293    
      680000      480049  2.1276372E-03  -6.547554    
      680000      570056  6.2772626E-04   216.9128    
      680000      570058  1.2046573E-02  -11.85741    
      680000      580059  1.4677228E-02  -8.772844    
      680000      590060  1.1164326E-02  -7.816967    
      680000      600061  1.5609123E-02  -18.90098    
      680000      330034  3.9355219E-03  -68.61809    
      680000      340035  6.9948272E-03  -33.11901    
      680000      350036  1.2365904E-02  -10.60635    
      680000      360037  5.8302685E-04  -125.8361    
      680000      370038  1.0817800E-02  -8.233541    
      680000      400039  2.5608020E-03  -12.58943    
      680000      410040  9.3549839E-04  -43.68018    
      680000      530054  1.8727103E-03  -6.905995    
      680000      540055  1.8813908E-03  -4.485565    
      680000      620063  6.1578494E-03  -28.03410    
      680000      630064  1.3829307E-02  -7.552007    
      680000      640065  1.6930697E-02  -8.628673    
      680000      650066  7.8494605E-03  -26.62798    
      790000       20001  5.2374136E-03  -19.13442    
      790000       30002  9.8972656E-03  -22.43337    
      790000       40003  9.2161819E-03  -24.09129    
      790000       50004  2.6544272E-03  -25.41710    
      790000       60005  2.1824769E-03  -28.29127    
      790000       70006  2.3547108E-03  -30.96504    
      790000       80009  4.2923945E-03  -29.54638    
      790000       90010  1.0578593E-02  -21.02980    
      790000      100011  5.4465276E-03  -21.57596    
      790000      110012  3.4594927E-03  -18.20609    
      790000      120013  5.6345556E-03  -18.10524    
      790000      130014  3.3155468E-03  -14.73696    
      790000      140015  2.2363767E-03  -15.13706    
      790000      150016  2.0252364E-03  -14.96789    
      790000      160017  1.7472915E-03  -14.00479    
      790000      170018  1.8590025E-03  -11.98197    
      790000      180019  2.1128673E-03  -10.92226    
      790000      190020  1.7999831E-03  -9.290145    
      790000      200021  1.8467908E-03  -9.068247    
